city,price,num_restaurants
Amston,1.0,1
Andover,1.0,3
Ansonia,2.0,12
Ashford,1.5,4
Avon,2.1,30
Baltic,1.5,2
Bantam,2.5,6
Barkhamsted,1.0,2
Beacon Falls,2.0,4
Berlin,1.7777777777777777,18
Bethany,1.6666666666666667,3
Bethel,1.8181818181818181,33
Bethlehem,2.0,5
Bloomfield,1.75,12
Bolton,1.6,5
Bozrah,1.6666666666666667,3
Branford,2.057142857142857,35
Bridgeport,1.7361111111111112,72
Bridgewater,2.0,1
Bristol,1.6428571428571428,42
Broad Brook,1.6666666666666667,3
Brookfield,1.55,20
Brooklyn,1.5555555555555556,9
Burlington,1.8,5
Canaan,1.25,8
Canterbury,1.5,2
Canton,1.7222222222222223,18
Centerbrook,1.6666666666666667,6
Chaplin,1.0,1
Cheshire,1.8181818181818181,11
Chester,2.272727272727273,11
Clinton,2.0,11
Cobalt,1.0,1
Colchester,1.5909090909090908,22
Colebrook,1.0,1
Collinsville,2.0,5
Columbia,1.3333333333333333,3
Cos Cob,2.125,8
Coventry,1.5555555555555556,9
Cromwell,1.7692307692307692,13
Danbury,1.8172043010752688,93
Danielson,1.5,14
Darien,2.0869565217391304,23
Dayville,1.5384615384615385,13
Deep River,1.5714285714285714,7
Derby,1.9333333333333333,15
Durham,1.5714285714285714,7
East Berlin,1.0,1
East Granby,1.375,8
East Haddam,2.0,7
East Hampton,1.7333333333333334,15
East Hartford,1.5555555555555556,27
East Haven,1.9285714285714286,14
East Lyme,1.8333333333333333,12
East WIndsor,1.0,1
East Windsor,1.6,25
Eastford,2.0,1
Easton,1.5,2
Ellington,1.75,8
Enfield,1.59375,32
Essex,1.8,10
Fairfield,2.088888888888889,45
Falls Village,1.5,2
Farmington,1.7692307692307692,26
Gales Ferry,2.0,2
Gaylordsville,2.0,2
Georgetown,1.6666666666666667,3
Glastonbury,1.8695652173913044,23
Goshen,1.5,2
Granby,1.75,16
Greenwich,2.2444444444444445,45
Griswold,1.5,2
Groton,1.8333333333333333,30
Guilford,2.0,21
Haddam,2.0,5
Hadlyme,1.0,1
Hamden,1.6896551724137931,29
Hartford,1.676923076923077,130
Hartland,2.0,1
Harwinton,1.5,4
Hebron,1.75,8
Higganum,1.625,8
Ivoryton,2.25,4
Jewett City,1.2857142857142858,7
Kensington,1.3333333333333333,3
Kent,2.0,8
Killingly,1.0,2
Killingworth,1.6666666666666667,3
Lakeville,2.125,8
Lebanon,2.0,1
Ledyard,1.5,10
Lisbon,1.6666666666666667,3
Litchfield,2.142857142857143,21
Madison,1.95,20
Manchester,1.7758620689655173,58
Mansfield,1.6470588235294117,17
Marlborough,1.7142857142857142,7
Mashantucket,2.1333333333333333,30
Meriden,1.631578947368421,19
Middlebury,2.0,10
Middlefield,2.0,5
Middletown,1.9577464788732395,71
Milford,2.0,33
Milldale,1.5454545454545454,11
Monroe,1.88,25
Montville,1.4,5
Moodus,1.5,2
Moosup,1.3333333333333333,3
Morris,2.6,5
Mystic,1.8979591836734695,49
Naugatuck,1.7647058823529411,17
New Britain,1.5142857142857142,35
New Canaan,2.142857142857143,21
New Fairfield,2.0,8
New Hartford,1.5,8
New Haven,1.9891304347826086,92
New London,1.868421052631579,38
New Milford,1.7647058823529411,34
New Preston,2.0,4
Newent,1.0,1
Newington,1.6129032258064515,31
Newtown,1.8333333333333333,36
Niantic,1.8235294117647058,17
Noank,2.0,2
Norfolk,1.75,4
North Branford,1.8181818181818181,11
North Franklin,1.0,2
North Grosvenordale,1.0,3
North Haven,1.9166666666666667,24
North Stonington,1.5,4
North Windham,1.25,4
Norwalk,2.05,100
Norwich,1.6181818181818182,55
Oakdale,2.0,3
Oakville,2.25,4
Old Greenwich,2.125,8
Old Lyme,2.0,7
Old Mystic,1.0,1
Old Saybrook,2.24,25
Orange,2.066666666666667,15
Oxford,1.6923076923076923,13
Plainfield,1.5,12
Plainville,1.7307692307692308,26
Plantsville,1.7142857142857142,21
Plymouth,1.25,4
Pomfret,1.5,4
Portland,1.5714285714285714,7
Preston,2.0,2
Prospect,2.0,8
Putnam,1.608695652173913,23
Quaker Hill,1.0,1
Redding,2.0,4
Ridgefield,2.25,20
Riverside,2.25,4
Riverton,1.0,1
Rockfall,1.5,2
Rockville,2.0,1
Rocky Hill,1.9615384615384615,26
Rowayton,2.0,1
Salem,1.25,4
Salisbury,3.0,1
Sandy Hook,2.0,6
Seymour,1.5925925925925926,27
Sharon,2.0,2
Shelton,2.2,25
Sherman,2.0,1
Simsbury,1.9411764705882353,34
Somers,1.5714285714285714,7
Somersville,1.5,2
South Glastonbury,1.8571428571428572,7
South WIndsor,1.0,1
South Windham,2.0,1
South Windsor,1.8709677419354838,31
Southbury,1.8148148148148149,27
Southington,2.0,34
Southport,2.5,10
Stafford,2.0,2
Stafford Springs,1.5714285714285714,7
Stamford,2.090909090909091,99
Sterling,1.5,2
Stevenson,1.0,1
Stonington,1.9,10
Storrs,1.5,12
Storrs Mansfield,1.8333333333333333,6
Stratford,1.8518518518518519,27
Suffield,2.0,7
Tariffville,2.0,2
Terryville,1.4285714285714286,7
Thomaston,1.7692307692307692,13
Thompson,1.75,4
Tolland,2.142857142857143,7
Torrington,1.9,20
Trumbull,2.2222222222222223,18
Uncasville,2.0,29
Union,2.0,2
Unionville,2.0,6
Vernon,1.875,24
Vernon Rockville,1.7142857142857142,7
Voluntown,1.0,1
Wallingford,1.8285714285714285,35
Washington,2.6,5
Washington Depot,2.6666666666666665,3
Waterbury,1.8307692307692307,65
Waterford,1.9,10
Watertown,1.7586206896551724,29
Weatogue,2.0,1
West Cornwall,4.0,1
West Hartford,2.0285714285714285,70
West Haven,1.8,20
West Simsbury,2.0,1
Westbrook,1.8333333333333333,12
Weston,2.0,2
Westport,2.3275862068965516,58
Wethersfield,1.7777777777777777,27
Willimantic,1.5,18
Willington,1.8333333333333333,6
Wilton,2.0,27
Winchester,2.0,2
Windham,1.6666666666666667,3
Windsor,1.75,32
Windsor Locks,1.5161290322580645,31
Winsted,1.588235294117647,17
Wolcott,1.8181818181818181,11
Woodbridge,1.8333333333333333,6
Woodbury,2.1,20
Woodstock,1.8,5
Yantic,1.6666666666666667,6
