city,1,2,3,4,total_restaurants
Amston,1.0,0.0,0.0,0.0,1
Andover,1.0,0.0,0.0,0.0,3
Ansonia,0.0,1.0,0.0,0.0,12
Ashford,0.5,0.5,0.0,0.0,4
Avon,0.03333333333333333,0.8333333333333334,0.13333333333333333,0.0,30
Baltic,0.5,0.5,0.0,0.0,2
Bantam,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,6
Barkhamsted,1.0,0.0,0.0,0.0,2
Beacon Falls,0.0,1.0,0.0,0.0,4
Berlin,0.2222222222222222,0.7777777777777778,0.0,0.0,18
Bethany,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Bethel,0.24242424242424243,0.696969696969697,0.06060606060606061,0.0,33
Bethlehem,0.2,0.6,0.2,0.0,5
Bloomfield,0.25,0.75,0.0,0.0,12
Bolton,0.4,0.6,0.0,0.0,5
Bozrah,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Branford,0.02857142857142857,0.8857142857142857,0.08571428571428572,0.0,35
Bridgeport,0.3194444444444444,0.6388888888888888,0.027777777777777776,0.013888888888888888,72
Bridgewater,0.0,1.0,0.0,0.0,1
Bristol,0.40476190476190477,0.5714285714285714,0.0,0.023809523809523808,42
Broad Brook,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Brookfield,0.45,0.55,0.0,0.0,20
Brooklyn,0.4444444444444444,0.5555555555555556,0.0,0.0,9
Burlington,0.2,0.8,0.0,0.0,5
Canaan,0.75,0.25,0.0,0.0,8
Canterbury,0.5,0.5,0.0,0.0,2
Canton,0.2777777777777778,0.7222222222222222,0.0,0.0,18
Centerbrook,0.3333333333333333,0.6666666666666666,0.0,0.0,6
Chaplin,1.0,0.0,0.0,0.0,1
Cheshire,0.18181818181818182,0.8181818181818182,0.0,0.0,11
Chester,0.0,0.7272727272727273,0.2727272727272727,0.0,11
Clinton,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0,11
Cobalt,1.0,0.0,0.0,0.0,1
Colchester,0.4090909090909091,0.5909090909090909,0.0,0.0,22
Colebrook,1.0,0.0,0.0,0.0,1
Collinsville,0.0,1.0,0.0,0.0,5
Columbia,0.6666666666666666,0.3333333333333333,0.0,0.0,3
Cos Cob,0.125,0.625,0.25,0.0,8
Coventry,0.4444444444444444,0.5555555555555556,0.0,0.0,9
Cromwell,0.23076923076923078,0.7692307692307693,0.0,0.0,13
Danbury,0.23655913978494625,0.7096774193548387,0.053763440860215055,0.0,93
Danielson,0.5,0.5,0.0,0.0,14
Darien,0.08695652173913043,0.782608695652174,0.08695652173913043,0.043478260869565216,23
Dayville,0.46153846153846156,0.5384615384615384,0.0,0.0,13
Deep River,0.42857142857142855,0.5714285714285714,0.0,0.0,7
Derby,0.06666666666666667,0.9333333333333333,0.0,0.0,15
Durham,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,7
East Berlin,1.0,0.0,0.0,0.0,1
East Granby,0.625,0.375,0.0,0.0,8
East Haddam,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7
East Hampton,0.26666666666666666,0.7333333333333333,0.0,0.0,15
East Hartford,0.4444444444444444,0.5555555555555556,0.0,0.0,27
East Haven,0.07142857142857142,0.9285714285714286,0.0,0.0,14
East Lyme,0.16666666666666666,0.8333333333333334,0.0,0.0,12
East WIndsor,1.0,0.0,0.0,0.0,1
East Windsor,0.4,0.6,0.0,0.0,25
Eastford,0.0,1.0,0.0,0.0,1
Easton,0.5,0.5,0.0,0.0,2
Ellington,0.25,0.75,0.0,0.0,8
Enfield,0.40625,0.59375,0.0,0.0,32
Essex,0.4,0.5,0.0,0.1,10
Fairfield,0.06666666666666667,0.7777777777777778,0.15555555555555556,0.0,45
Falls Village,0.5,0.5,0.0,0.0,2
Farmington,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.0,26
Gales Ferry,0.0,1.0,0.0,0.0,2
Gaylordsville,0.0,1.0,0.0,0.0,2
Georgetown,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Glastonbury,0.21739130434782608,0.6956521739130435,0.08695652173913043,0.0,23
Goshen,0.5,0.5,0.0,0.0,2
Granby,0.3125,0.625,0.0625,0.0,16
Greenwich,0.13333333333333333,0.5333333333333333,0.28888888888888886,0.044444444444444446,45
Griswold,0.5,0.5,0.0,0.0,2
Groton,0.23333333333333334,0.7,0.06666666666666667,0.0,30
Guilford,0.0,1.0,0.0,0.0,21
Haddam,0.0,1.0,0.0,0.0,5
Hadlyme,1.0,0.0,0.0,0.0,1
Hamden,0.3103448275862069,0.6896551724137931,0.0,0.0,29
Hartford,0.4076923076923077,0.5153846153846153,0.06923076923076923,0.007692307692307693,130
Hartland,0.0,1.0,0.0,0.0,1
Harwinton,0.5,0.5,0.0,0.0,4
Hebron,0.25,0.75,0.0,0.0,8
Higganum,0.375,0.625,0.0,0.0,8
Ivoryton,0.0,0.75,0.25,0.0,4
Jewett City,0.7142857142857143,0.2857142857142857,0.0,0.0,7
Kensington,0.6666666666666666,0.3333333333333333,0.0,0.0,3
Kent,0.0,1.0,0.0,0.0,8
Killingly,1.0,0.0,0.0,0.0,2
Killingworth,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Lakeville,0.25,0.375,0.375,0.0,8
Lebanon,0.0,1.0,0.0,0.0,1
Ledyard,0.6,0.3,0.1,0.0,10
Lisbon,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Litchfield,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,21
Madison,0.1,0.85,0.05,0.0,20
Manchester,0.2413793103448276,0.7413793103448276,0.017241379310344827,0.0,58
Mansfield,0.35294117647058826,0.6470588235294118,0.0,0.0,17
Marlborough,0.2857142857142857,0.7142857142857143,0.0,0.0,7
Mashantucket,0.1,0.7,0.16666666666666666,0.03333333333333333,30
Meriden,0.3684210526315789,0.631578947368421,0.0,0.0,19
Middlebury,0.1,0.8,0.1,0.0,10
Middlefield,0.6,0.0,0.2,0.2,5
Middletown,0.08450704225352113,0.8732394366197183,0.04225352112676056,0.0,71
Milford,0.06060606060606061,0.8787878787878788,0.06060606060606061,0.0,33
Milldale,0.45454545454545453,0.5454545454545454,0.0,0.0,11
Monroe,0.2,0.72,0.08,0.0,25
Montville,0.6,0.4,0.0,0.0,5
Moodus,0.5,0.5,0.0,0.0,2
Moosup,0.6666666666666666,0.3333333333333333,0.0,0.0,3
Morris,0.2,0.4,0.0,0.4,5
Mystic,0.14285714285714285,0.8163265306122449,0.04081632653061224,0.0,49
Naugatuck,0.23529411764705882,0.7647058823529411,0.0,0.0,17
New Britain,0.5142857142857142,0.45714285714285713,0.02857142857142857,0.0,35
New Canaan,0.047619047619047616,0.7619047619047619,0.19047619047619047,0.0,21
New Fairfield,0.0,1.0,0.0,0.0,8
New Hartford,0.5,0.5,0.0,0.0,8
New Haven,0.15217391304347827,0.7065217391304348,0.14130434782608695,0.0,92
New London,0.18421052631578946,0.7894736842105263,0.0,0.02631578947368421,38
New Milford,0.3235294117647059,0.5882352941176471,0.08823529411764706,0.0,34
New Preston,0.0,1.0,0.0,0.0,4
Newent,1.0,0.0,0.0,0.0,1
Newington,0.41935483870967744,0.5483870967741935,0.03225806451612903,0.0,31
Newtown,0.25,0.6666666666666666,0.08333333333333333,0.0,36
Niantic,0.17647058823529413,0.8235294117647058,0.0,0.0,17
Noank,0.0,1.0,0.0,0.0,2
Norfolk,0.25,0.75,0.0,0.0,4
North Branford,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,11
North Franklin,1.0,0.0,0.0,0.0,2
North Grosvenordale,1.0,0.0,0.0,0.0,3
North Haven,0.08333333333333333,0.9166666666666666,0.0,0.0,24
North Stonington,0.5,0.5,0.0,0.0,4
North Windham,0.75,0.25,0.0,0.0,4
Norwalk,0.09,0.78,0.12,0.01,100
Norwich,0.41818181818181815,0.5454545454545454,0.03636363636363636,0.0,55
Oakdale,0.0,1.0,0.0,0.0,3
Oakville,0.0,0.75,0.25,0.0,4
Old Greenwich,0.125,0.625,0.25,0.0,8
Old Lyme,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7
Old Mystic,1.0,0.0,0.0,0.0,1
Old Saybrook,0.0,0.76,0.24,0.0,25
Orange,0.0,0.9333333333333333,0.06666666666666667,0.0,15
Oxford,0.3076923076923077,0.6923076923076923,0.0,0.0,13
Plainfield,0.5,0.5,0.0,0.0,12
Plainville,0.2692307692307692,0.7307692307692307,0.0,0.0,26
Plantsville,0.3333333333333333,0.6190476190476191,0.047619047619047616,0.0,21
Plymouth,0.75,0.25,0.0,0.0,4
Pomfret,0.5,0.5,0.0,0.0,4
Portland,0.42857142857142855,0.5714285714285714,0.0,0.0,7
Preston,0.0,1.0,0.0,0.0,2
Prospect,0.0,1.0,0.0,0.0,8
Putnam,0.391304347826087,0.6086956521739131,0.0,0.0,23
Quaker Hill,1.0,0.0,0.0,0.0,1
Redding,0.0,1.0,0.0,0.0,4
Ridgefield,0.05,0.65,0.3,0.0,20
Riverside,0.25,0.5,0.0,0.25,4
Riverton,1.0,0.0,0.0,0.0,1
Rockfall,0.5,0.5,0.0,0.0,2
Rockville,0.0,1.0,0.0,0.0,1
Rocky Hill,0.038461538461538464,0.9615384615384616,0.0,0.0,26
Rowayton,0.0,1.0,0.0,0.0,1
Salem,0.75,0.25,0.0,0.0,4
Salisbury,0.0,0.0,1.0,0.0,1
Sandy Hook,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,6
Seymour,0.4074074074074074,0.5925925925925926,0.0,0.0,27
Sharon,0.0,1.0,0.0,0.0,2
Shelton,0.0,0.8,0.2,0.0,25
Sherman,0.0,1.0,0.0,0.0,1
Simsbury,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.0,34
Somers,0.42857142857142855,0.5714285714285714,0.0,0.0,7
Somersville,0.5,0.5,0.0,0.0,2
South Glastonbury,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,7
South WIndsor,1.0,0.0,0.0,0.0,1
South Windham,0.0,1.0,0.0,0.0,1
South Windsor,0.1935483870967742,0.7419354838709677,0.06451612903225806,0.0,31
Southbury,0.18518518518518517,0.8148148148148148,0.0,0.0,27
Southington,0.08823529411764706,0.8235294117647058,0.08823529411764706,0.0,34
Southport,0.1,0.5,0.2,0.2,10
Stafford,0.0,1.0,0.0,0.0,2
Stafford Springs,0.42857142857142855,0.5714285714285714,0.0,0.0,7
Stamford,0.030303030303030304,0.8686868686868687,0.08080808080808081,0.020202020202020204,99
Sterling,0.5,0.5,0.0,0.0,2
Stevenson,1.0,0.0,0.0,0.0,1
Stonington,0.2,0.7,0.1,0.0,10
Storrs,0.5,0.5,0.0,0.0,12
Storrs Mansfield,0.16666666666666666,0.8333333333333334,0.0,0.0,6
Stratford,0.18518518518518517,0.7777777777777778,0.037037037037037035,0.0,27
Suffield,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7
Tariffville,0.0,1.0,0.0,0.0,2
Terryville,0.5714285714285714,0.42857142857142855,0.0,0.0,7
Thomaston,0.23076923076923078,0.7692307692307693,0.0,0.0,13
Thompson,0.25,0.75,0.0,0.0,4
Tolland,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,7
Torrington,0.1,0.9,0.0,0.0,20
Trumbull,0.0,0.7777777777777778,0.2222222222222222,0.0,18
Uncasville,0.1724137931034483,0.6551724137931034,0.1724137931034483,0.0,29
Union,0.0,1.0,0.0,0.0,2
Unionville,0.0,1.0,0.0,0.0,6
Vernon,0.125,0.875,0.0,0.0,24
Vernon Rockville,0.2857142857142857,0.7142857142857143,0.0,0.0,7
Voluntown,1.0,0.0,0.0,0.0,1
Wallingford,0.2,0.7714285714285715,0.02857142857142857,0.0,35
Washington,0.0,0.6,0.2,0.2,5
Washington Depot,0.0,0.6666666666666666,0.0,0.3333333333333333,3
Waterbury,0.23076923076923078,0.7076923076923077,0.06153846153846154,0.0,65
Waterford,0.1,0.9,0.0,0.0,10
Watertown,0.2413793103448276,0.7586206896551724,0.0,0.0,29
Weatogue,0.0,1.0,0.0,0.0,1
West Cornwall,0.0,0.0,0.0,1.0,1
West Hartford,0.02857142857142857,0.9142857142857143,0.05714285714285714,0.0,70
West Haven,0.2,0.8,0.0,0.0,20
West Simsbury,0.0,1.0,0.0,0.0,1
Westbrook,0.25,0.6666666666666666,0.08333333333333333,0.0,12
Weston,0.0,1.0,0.0,0.0,2
Westport,0.034482758620689655,0.603448275862069,0.3620689655172414,0.0,58
Wethersfield,0.2222222222222222,0.7777777777777778,0.0,0.0,27
Willimantic,0.5,0.5,0.0,0.0,18
Willington,0.16666666666666666,0.8333333333333334,0.0,0.0,6
Wilton,0.18518518518518517,0.6296296296296297,0.18518518518518517,0.0,27
Winchester,0.0,1.0,0.0,0.0,2
Windham,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Windsor,0.25,0.75,0.0,0.0,32
Windsor Locks,0.4838709677419355,0.5161290322580645,0.0,0.0,31
Winsted,0.4117647058823529,0.5882352941176471,0.0,0.0,17
Wolcott,0.18181818181818182,0.8181818181818182,0.0,0.0,11
Woodbridge,0.16666666666666666,0.8333333333333334,0.0,0.0,6
Woodbury,0.2,0.5,0.3,0.0,20
Woodstock,0.6,0.0,0.4,0.0,5
Yantic,0.3333333333333333,0.6666666666666666,0.0,0.0,6
